user_id,data_pasto,tipo_pasto,totale_calorie,elementi,giudizio_critico,macro_totali
f4751bf5-cdc5-407e-a1c2-ec7da2de337e,2025-09-20,colazione,252,"{'carboidrati': '46g', 'proteine': '21g', 'grassi': '38g'}",bilanciato,"{'kcal': 252, 'carb_percent': 43, 'protein_percent': 11, 'fat_percent': 34}"
1caabea0-3571-48c1-81d6-816830b3cd75,2025-09-20,spuntino,658,"{'carboidrati': '95g', 'proteine': '17g', 'grassi': '39g'}",troppi carboidrati,"{'kcal': 658, 'carb_percent': 49, 'protein_percent': 10, 'fat_percent': 30}"
f4751bf5-cdc5-407e-a1c2-ec7da2de337e,2025-09-20,pranzo,515,"{'carboidrati': '71g', 'proteine': '10g', 'grassi': '23g'}",troppi carboidrati,"{'kcal': 515, 'carb_percent': 55, 'protein_percent': 10, 'fat_percent': 36}"
f98c05e1-df2e-4eb2-815f-39317c57049b,2025-09-20,cena,308,"{'carboidrati': '22g', 'proteine': '42g', 'grassi': '18g'}",poche proteine,"{'kcal': 308, 'carb_percent': 45, 'protein_percent': 10, 'fat_percent': 27}"
1caabea0-3571-48c1-81d6-816830b3cd75,2025-09-19,colazione,863,"{'carboidrati': '98g', 'proteine': '20g', 'grassi': '11g'}",poche proteine,"{'kcal': 863, 'carb_percent': 54, 'protein_percent': 21, 'fat_percent': 27}"
1caabea0-3571-48c1-81d6-816830b3cd75,2025-09-19,spuntino,488,"{'carboidrati': '71g', 'proteine': '11g', 'grassi': '6g'}",troppi carboidrati,"{'kcal': 488, 'carb_percent': 40, 'protein_percent': 17, 'fat_percent': 30}"
f4751bf5-cdc5-407e-a1c2-ec7da2de337e,2025-09-19,pranzo,595,"{'carboidrati': '82g', 'proteine': '14g', 'grassi': '17g'}",troppi carboidrati,"{'kcal': 595, 'carb_percent': 51, 'protein_percent': 17, 'fat_percent': 35}"
f7b98e95-bd99-4609-a1a4-6f8e15389737,2025-09-19,cena,674,"{'carboidrati': '29g', 'proteine': '25g', 'grassi': '14g'}",troppi grassi,"{'kcal': 674, 'carb_percent': 42, 'protein_percent': 29, 'fat_percent': 24}"
1caabea0-3571-48c1-81d6-816830b3cd75,2025-09-18,colazione,228,"{'carboidrati': '42g', 'proteine': '50g', 'grassi': '5g'}",bilanciato,"{'kcal': 228, 'carb_percent': 58, 'protein_percent': 28, 'fat_percent': 24}"
1caabea0-3571-48c1-81d6-816830b3cd75,2025-09-18,spuntino,359,"{'carboidrati': '36g', 'proteine': '47g', 'grassi': '23g'}",poche proteine,"{'kcal': 359, 'carb_percent': 46, 'protein_percent': 18, 'fat_percent': 32}"
f98c05e1-df2e-4eb2-815f-39317c57049b,2025-09-18,pranzo,526,"{'carboidrati': '28g', 'proteine': '48g', 'grassi': '6g'}",bilanciato,"{'kcal': 526, 'carb_percent': 51, 'protein_percent': 24, 'fat_percent': 38}"
1caabea0-3571-48c1-81d6-816830b3cd75,2025-09-18,cena,877,"{'carboidrati': '82g', 'proteine': '15g', 'grassi': '9g'}",troppi carboidrati,"{'kcal': 877, 'carb_percent': 49, 'protein_percent': 10, 'fat_percent': 20}"
1caabea0-3571-48c1-81d6-816830b3cd75,2025-09-17,colazione,648,"{'carboidrati': '39g', 'proteine': '43g', 'grassi': '39g'}",troppi carboidrati,"{'kcal': 648, 'carb_percent': 55, 'protein_percent': 25, 'fat_percent': 25}"
