user_id	data_pasto	tipo_pasto	totale_calorie	elementi	giudizio_critico	macro_totali	family_group
f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-04-01	colazione	212	{'carboidrati': '24g', 'proteine': '20g', 'grassi': '36g'}	bilanciato	{'kcal': 318, 'carb_percent': 58, 'protein_percent': 17, 'fat_percent': 30}	PATARINI
f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-04-01	pranzo	383	{'carboidrati': '68g', 'proteine': '29g', 'grassi': '40g'}	poche proteine	{'kcal': 575, 'carb_percent': 55, 'protein_percent': 23, 'fat_percent': 30}	PATARINI
f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-04-01	cena	398	{'carboidrati': '40g', 'proteine': '34g', 'grassi': '12g'}	troppi carboidrati	{'kcal': 597, 'carb_percent': 44, 'protein_percent': 14, 'fat_percent': 30}	PATARINI
f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-04-01	spuntino	219	{'carboidrati': '41g', 'proteine': '17g', 'grassi': '12g'}	poche proteine	{'kcal': 328, 'carb_percent': 48, 'protein_percent': 22, 'fat_percent': 24}	PATARINI
f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-04-02	colazione	458	{'carboidrati': '72g', 'proteine': '22g', 'grassi': '11g'}	troppi grassi	{'kcal': 687, 'carb_percent': 54, 'protein_percent': 14, 'fat_percent': 39}	PATARINI
f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-04-02	pranzo	427	{'carboidrati': '21g', 'proteine': '32g', 'grassi': '27g'}	troppi carboidrati	{'kcal': 640, 'carb_percent': 60, 'protein_percent': 18, 'fat_percent': 33}	PATARINI
f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-04-02	cena	586	{'carboidrati': '61g', 'proteine': '24g', 'grassi': '35g'}	poche proteine	{'kcal': 879, 'carb_percent': 43, 'protein_percent': 20, 'fat_percent': 21}	PATARINI
f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-04-02	spuntino	580	{'carboidrati': '85g', 'proteine': '11g', 'grassi': '18g'}	troppi carboidrati	{'kcal': 870, 'carb_percent': 52, 'protein_percent': 22, 'fat_percent': 24}	PATARINI
f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-04-03	colazione	203	{'carboidrati': '36g', 'proteine': '38g', 'grassi': '6g'}	poche proteine	{'kcal': 304, 'carb_percent': 58, 'protein_percent': 28, 'fat_percent': 35}	PATARINI
f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-04-03	pranzo	255	{'carboidrati': '64g', 'proteine': '27g', 'grassi': '27g'}	bilanciato	{'kcal': 383, 'carb_percent': 42, 'protein_percent': 25, 'fat_percent': 35}	PATARINI
f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-04-03	cena	335	{'carboidrati': '54g', 'proteine': '14g', 'grassi': '38g'}	poche proteine	{'kcal': 502, 'carb_percent': 41, 'protein_percent': 13, 'fat_percent': 38}	PATARINI
f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-04-03	spuntino	355	{'carboidrati': '82g', 'proteine': '14g', 'grassi': '32g'}	troppi carboidrati	{'kcal': 533, 'carb_percent': 43, 'protein_percent': 30, 'fat_percent': 21}	PATARINI
f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-04-04	colazione	539	{'carboidrati': '96g', 'proteine': '35g', 'grassi': '17g'}	troppi carboidrati	{'kcal': 808, 'carb_percent': 50, 'protein_percent': 20, 'fat_percent': 26}	PATARINI
f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-04-04	pranzo	590	{'carboidrati': '83g', 'proteine': '31g', 'grassi': '20g'}	troppi carboidrati	{'kcal': 885, 'carb_percent': 49, 'protein_percent': 15, 'fat_percent': 29}	PATARINI
f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-04-04	cena	493	{'carboidrati': '61g', 'proteine': '34g', 'grassi': '7g'}	troppi grassi	{'kcal': 740, 'carb_percent': 55, 'protein_percent': 15, 'fat_percent': 21}	PATARINI
f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-04-04	spuntino	285	{'carboidrati': '46g', 'proteine': '14g', 'grassi': '37g'}	poche proteine	{'kcal': 427, 'carb_percent': 51, 'protein_percent': 12, 'fat_percent': 28}	PATARINI
f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-04-05	colazione	595	{'carboidrati': '88g', 'proteine': '19g', 'grassi': '32g'}	troppi carboidrati	{'kcal': 893, 'carb_percent': 42, 'protein_percent': 20, 'fat_percent': 40}	PATARINI
f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-04-05	pranzo	477	{'carboidrati': '83g', 'proteine': '33g', 'grassi': '16g'}	poche proteine	{'kcal': 716, 'carb_percent': 60, 'protein_percent': 10, 'fat_percent': 40}	PATARINI
f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-04-05	cena	287	{'carboidrati': '28g', 'proteine': '19g', 'grassi': '32g'}	troppi grassi	{'kcal': 431, 'carb_percent': 54, 'protein_percent': 20, 'fat_percent': 34}	PATARINI
f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-04-05	spuntino	177	{'carboidrati': '85g', 'proteine': '45g', 'grassi': '5g'}	troppi carboidrati	{'kcal': 266, 'carb_percent': 60, 'protein_percent': 20, 'fat_percent': 26}	PATARINI
f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-04-06	colazione	139	{'carboidrati': '59g', 'proteine': '29g', 'grassi': '22g'}	poche proteine	{'kcal': 208, 'carb_percent': 49, 'protein_percent': 17, 'fat_percent': 22}	PATARINI
f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-04-06	pranzo	454	{'carboidrati': '40g', 'proteine': '13g', 'grassi': '15g'}	troppi grassi	{'kcal': 681, 'carb_percent': 57, 'protein_percent': 15, 'fat_percent': 30}	PATARINI
f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-04-06	cena	455	{'carboidrati': '60g', 'proteine': '14g', 'grassi': '21g'}	bilanciato	{'kcal': 682, 'carb_percent': 51, 'protein_percent': 15, 'fat_percent': 35}	PATARINI
f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-04-06	spuntino	542	{'carboidrati': '65g', 'proteine': '50g', 'grassi': '27g'}	bilanciato	{'kcal': 813, 'carb_percent': 56, 'protein_percent': 13, 'fat_percent': 40}	PATARINI
