task	inserted_by	deadline	is_completed	inserted_at	family_group
Telefonare alla mamma (1)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-12-12	TRUE	2025-12-10 00:00:00.000000+00	PATARINI
Fare benzina (2)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-12-24	TRUE	2025-12-22 00:00:00.000000+00	PATARINI
Portare il cane a passeggio (3)	f4751bf5-cdc5-407e-a1c2-ec7da2de337e	2025-10-21	TRUE	2025-10-17 00:00:00.000000+00	PATARINI
Pagare bolletta luce (4)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-10-20	TRUE	2025-10-18 00:00:00.000000+00	PATARINI
Portare il cane a passeggio (5)	f4751bf5-cdc5-407e-a1c2-ec7da2de337e	2025-09-23	TRUE	2025-09-20 00:00:00.000000+00	PATARINI
Andare in palestra (6)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-12-25	TRUE	2025-12-23 00:00:00.000000+00	PATARINI
Studiare inglese (7)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-08-30	TRUE	2025-08-27 00:00:00.000000+00	PATARINI
Pagare bolletta luce (8)	f98c05e1-df2e-4eb2-815f-39317c57049b	2025-11-08	TRUE	2025-11-07 00:00:00.000000+00	PATARINI
Preparare la cena (9)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-10-29	TRUE	2025-10-28 00:00:00.000000+00	PATARINI
Comprare il latte (10)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-12-10	TRUE	2025-12-09 00:00:00.000000+00	PATARINI
Fare benzina (11)	f4751bf5-cdc5-407e-a1c2-ec7da2de337e	2025-11-07	TRUE	2025-11-04 00:00:00.000000+00	PATARINI
Comprare il latte (12)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-10-12	TRUE	2025-10-08 00:00:00.000000+00	PATARINI
Comprare il latte (13)	f98c05e1-df2e-4eb2-815f-39317c57049b	2025-11-09	TRUE	2025-11-07 00:00:00.000000+00	PATARINI
Telefonare alla mamma (14)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-12-12	TRUE	2025-12-08 00:00:00.000000+00	PATARINI
Portare il cane a passeggio (15)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-12-21	TRUE	2025-12-19 00:00:00.000000+00	PATARINI
Fare la spesa (16)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-12-13	TRUE	2025-12-10 00:00:00.000000+00	PATARINI
Preparare la cena (17)	f4751bf5-cdc5-407e-a1c2-ec7da2de337e	2025-10-11	TRUE	2025-10-08 00:00:00.000000+00	PATARINI
Studiare inglese (18)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-12-22	TRUE	2025-12-21 00:00:00.000000+00	PATARINI
Portare il cane a passeggio (19)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-09-01	TRUE	2025-08-28 00:00:00.000000+00	PATARINI
Fare benzina (20)	f98c05e1-df2e-4eb2-815f-39317c57049b	2025-12-11	TRUE	2025-12-07 00:00:00.000000+00	PATARINI
